"date","close","volume","open","high","low"
"2007/12/31","103.9100","17495.0000","104.3300","104.5400","103.6600"
"2007/12/28","104.8400","24761.0000","106.0800","106.0800","104.5900"
"2007/12/27","104.9800","11868.0000","106.4400","106.5100","104.9100"
"2007/12/26","106.7300","14796.0000","105.9600","106.9500","105.8500"
"2007/12/24","106.3500","9245.0000","105.8900","106.4700","105.6300"
"2007/12/21","104.3300","48762.0000","105.1100","105.5200","104.3300"
"2007/12/20","103.7700","50250.0000","103.3600","103.7700","102.5000"
"2007/12/19","102.2100","17061.0000","102.1800","102.5200","101.8000"
"2007/12/18","102.0600","25601.0000","102.2500","102.3800","100.4700"
"2007/12/17","101.2800","38906.0000","103.0900","103.0900","101.2700"
"2007/12/14","103.5900","45700.0000","103.9000","104.9900","103.5000"
"2007/12/13","104.8200","37380.0000","104.2500","104.9200","103.7900"
"2007/12/12","104.8500","36885.0000","106.2300","106.5000","104.0500"
"2007/12/11","104.3400","32692.0000","107.0100","107.4100","104.1400"
"2007/12/10","106.8000","67163.0000","106.3400","107.0900","106.3400"
"2007/12/07","106.3200","23724.0000","106.5700","106.5700","105.9800"
"2007/12/06","106.3600","117327.0000","104.6300","106.4100","104.6300"
"2007/12/05","104.7600","13757.0000","103.9100","104.9200","103.9100"
"2007/12/04","102.9000","29644.0000","102.4800","103.5100","102.4800"
"2007/12/03","103.6500","10605.0000","104.6000","104.7900","103.5800"
"2007/11/30","104.1600","44538.0000","105.8000","106.3800","103.9900"
"2007/11/29","104.7200","30163.0000","103.0000","105.0120","103.0000"
"2007/11/28","103.9200","25897.0000","102.5000","104.7600","102.5000"
"2007/11/27","101.2500","21100.0000","100.0200","101.5400","100.0200"
"2007/11/26","99.8000","22063.0000","102.1200","102.3901","99.7500"
"2007/11/23","101.9300","5250.0000","101.1600","102.0500","100.8500"
"2007/11/21","100.6400","43056.0000","101.1100","101.8900","99.9700"
"2007/11/20","101.7000","39731.0000","102.6000","103.4300","100.3000"
"2007/11/19","101.8600","23109.0000","103.0000","103.2300","101.4900"
"2007/11/16","104.1900","40850.0000","103.4100","104.1900","102.0100"
"2007/11/15","102.8480","30118.0000","103.8600","104.1600","102.4500"
"2007/11/14","103.7000","14947.0000","105.9400","105.9700","103.6800"
"2007/11/13","104.9100","17075.0000","102.5100","104.9100","102.4800"
"2007/11/12","101.5700","17103.0000","102.8200","103.6500","101.3400"
"2007/11/09","103.2260","25194.0000","104.0100","104.7100","103.0200"
"2007/11/08","105.8400","60769.0000","107.8100","108.1599","104.0000"
"2007/11/07","108.0160","21342.0000","109.0100","110.3182","108.0000"
"2007/11/06","110.9020","6206.0000","110.7000","110.9020","109.4000"
"2007/11/05","109.7300","19602.0000","108.4400","110.0900","108.4400"
"2007/11/02","110.2500","93553.0000","110.7600","110.7600","108.8800"
"2007/11/01","109.6800","26441.0000","111.7000","111.7000","109.6500"
"2007/10/31","112.0300","33973.0000","111.3400","112.2800","110.6700"
"2007/10/30","110.6001","7843.0000","110.5300","110.9600","110.2900"
"2007/10/29","110.4300","16107.0000","110.7100","111.0200","110.1200"
"2007/10/26","109.9620","16350.0000","109.5900","110.2900","109.3490"
"2007/10/25","108.1000","103156.0000","108.8600","109.3900","107.5200"
"2007/10/24","108.4700","83637.0000","108.9700","109.2200","106.8000"
"2007/10/23","109.8500","6165.0000","109.1100","109.8500","108.6280"
"2007/10/22","108.1000","25576.0000","106.2200","108.1000","105.8100"
"2007/10/19","107.0000","34562.0000","109.8600","109.8600","107.0000"
"2007/10/18","109.9275","4986.0000","109.2900","109.9275","109.0520"
"2007/10/17","109.5000","29464.0000","110.0200","110.0200","108.1500"
"2007/10/16","108.5400","11246.0000","108.7500","109.1400","108.4800"
"2007/10/15","108.7760","16220.0000","110.3600","110.4300","108.7760"
"2007/10/12","109.9300","5083.0000","108.9100","110.0800","108.9100"
"2007/10/11","108.8400","13151.0000","110.9900","111.2500","108.3400"
"2007/10/10","110.3700","7545.0000","110.1600","110.4360","109.9300"
"2007/10/09","110.0400","12228.0000","109.7600","110.1100","109.4200"
"2007/10/08","109.3996","3771.0000","109.0700","109.4000","108.8500"
"2007/10/05","109.0400","6967.0000","108.1600","109.3300","108.0000"
"2007/10/04","107.3180","4925.0000","107.0400","107.3180","107.0400"
"2007/10/03","107.1800","2885.0000","107.4400","107.7200","106.9200"
"2007/10/02","107.8200","18737.0000","107.5600","107.8780","107.3700"
"2007/10/01","107.5700","36637.0000","105.8700","107.7000","104.1300"
"2007/09/28","106.0200","19419.0000","106.5300","106.6300","105.8600"
"2007/09/27","106.4200","6059.0000","106.5500","106.6944","106.1700"
"2007/09/26","106.0100","26134.0000","105.9700","106.3900","105.7900"
"2007/09/25","105.2000","29159.0000","104.3300","105.2800","104.3300"
